Date,SHY,IEF,TLT
2016-08-03,80.45758056640625,104.30469512939453,126.35881042480469
2016-08-04,80.51428985595703,104.5554428100586,127.30824279785156
2016-08-05,80.40087890625,103.90535736083984,125.98454284667969
2016-08-08,80.37250518798828,103.84961700439453,126.22190856933594
2016-08-09,80.41979217529297,104.22108459472656,127.46344757080078
2016-08-10,80.45758056640625,104.49971008300781,127.9564437866211
2016-08-11,80.38197326660156,103.99822998046875,126.81529235839844
2016-08-12,80.43866729736328,104.36968231201172,127.88335418701172
2016-08-15,80.41979217529297,104.06321716308594,126.67835235595703
2016-08-16,80.39140319824219,103.88675689697266,126.34059143066406
2016-08-17,80.39140319824219,104.053955078125,127.09830474853516
2016-08-18,80.44813537597656,104.23968505859375,127.29914093017578
2016-08-19,80.37250518798828,103.88675689697266,126.63275146484375
2016-08-22,80.38197326660156,104.11894989013672,127.70087432861328
2016-08-23,80.39140319824219,104.10965728759766,127.83771514892578
2016-08-24,80.37250518798828,104.07252502441406,127.53653717041016
2016-08-25,80.34416961669922,103.90535736083984,127.05266571044922
2016-08-26,80.26852416992188,103.50597381591797,126.31320190429688
2016-08-29,80.31582641601562,103.93319702148438,128.00216674804688
2016-08-30,80.32528686523438,103.92391967773438,127.50914001464844
2016-08-31,80.31582641601562,103.80316162109375,127.69166564941406
2016-09-01,80.35363006591797,103.96593475341797,127.83252716064453
2016-09-02,80.35363006591797,103.69622802734375,126.7898941040039
2016-09-06,80.41036987304688,104.1798324584961,127.71370697021484
2016-09-07,80.41036987304688,104.23564147949219,127.62222290039062
2016-09-08,80.35363006591797,103.7241439819336,126.02167510986328
2016-09-09,80.3252944946289,103.23123931884766,123.945556640625
2016-09-12,80.35363006591797,103.32422637939453,124.00957489013672
2016-09-13,80.3252944946289,102.94290161132812,122.6010971069336
2016-09-14,80.37252807617188,103.17540740966797,122.78402709960938
2016-09-15,80.43873596191406,103.20330047607422,122.25349426269531
2016-09-16,80.40093231201172,103.31494140625,123.24129486083984
2016-09-19,80.38201141357422,103.13824462890625,122.83889770507812
2016-09-20,80.36311340332031,103.29633331298828,123.26874542236328
2016-09-21,80.38201141357422,103.46375274658203,124.2656478881836
2016-09-22,80.36311340332031,103.77063751220703,125.25341033935547
2016-09-23,80.41036987304688,103.81712341308594,125.1345443725586
2016-09-26,80.45767211914062,104.11473083496094,125.93021392822266
2016-09-27,80.46711730957031,104.29144287109375,126.85391998291016
2016-09-28,80.45767211914062,104.24494171142578,126.5795669555664
2016-09-29,80.48603820800781,104.31004333496094,126.89969635009766
2016-09-30,80.41985321044922,104.04964447021484,125.76558685302734
2016-10-03,80.4094467163086,103.80751037597656,125.35050964355469
2016-10-04,80.34317779541016,103.33255004882812,123.88450622558594
2016-10-05,80.29586791992188,103.0997543334961,123.30726623535156
2016-10-06,80.29586791992188,102.88558959960938,122.62014770507812
2016-10-07,80.32425689697266,103.0345687866211,122.70256805419922
2016-10-10,80.28638458251953,102.7645034790039,121.97882080078125
2016-10-11,80.27696228027344,102.73656463623047,121.7038803100586
2016-10-12,80.27696228027344,102.73656463623047,121.822998046875
2016-10-13,80.30534362792969,102.95073699951172,122.28111267089844
2016-10-14,80.28638458251953,102.63411712646484,120.56774139404297
2016-10-17,80.35264587402344,102.85765075683594,121.3374252319336
2016-10-18,80.38102722167969,103.06248474121094,121.7313232421875
2016-10-19,80.38102722167969,103.10905456542969,121.83216857910156
2016-10-20,80.34317779541016,103.01593780517578,121.96043395996094
2016-10-21,80.36212921142578,103.12767028808594,122.14372253417969
2016-10-24,80.33370971679688,102.98798370361328,121.61228942871094
2016-10-25,80.33370971679688,102.96937561035156,121.93296813964844
2016-10-26,80.30534362792969,102.74586486816406,121.10830688476562
2016-10-27,80.32425689697266,102.39198303222656,119.7889633178711
2016-10-28,80.32425689697266,102.41063690185547,119.52326965332031
2016-10-31,80.38102722167969,102.49443054199219,120.25627136230469
2016-11-01,80.38196563720703,102.49816131591797,120.26542663574219
2016-11-02,80.4292984008789,102.8058853149414,120.7887191772461
2016-11-03,80.43878173828125,102.74061584472656,119.86151123046875
2016-11-04,80.4671859741211,103.05767822265625,120.93556213378906
2016-11-07,80.43878173828125,102.62873077392578,119.90736389160156
2016-11-08,80.35359954833984,102.2650146484375,119.42091369628906
